# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  8.8070E+03  1.6806E+03  1.6806E+03  2.5474E+09  5.4022E+03  5.4022E+03
  8.6964E+03  1.8136E+03  1.3493E+03  2.3785E+09  5.3244E+03  5.5639E+03
  8.5858E+03  1.9699E+03  1.2617E+03  2.2330E+09  5.2406E+03  5.6009E+03
  8.4752E+03  2.0575E+03  1.1830E+03  2.0919E+09  5.1890E+03  5.6347E+03
  8.3646E+03  2.1221E+03  1.1105E+03  1.9550E+09  5.1478E+03  5.6666E+03
  8.2540E+03  2.1759E+03  1.0426E+03  1.8224E+09  5.1114E+03  5.6972E+03
  8.1434E+03  2.2229E+03  9.7837E+02  1.6943E+09  5.0778E+03  5.7271E+03
  8.0328E+03  2.2651E+03  9.1723E+02  1.5706E+09  5.0462E+03  5.7565E+03
  7.9222E+03  2.3038E+03  8.5867E+02  1.4516E+09  5.0160E+03  5.7857E+03
  7.8116E+03  2.3396E+03  8.0236E+02  1.3372E+09  4.9869E+03  5.8149E+03
  7.7010E+03  2.3732E+03  7.4806E+02  1.2277E+09  4.9585E+03  5.8444E+03
  7.5904E+03  2.4048E+03  6.9562E+02  1.1231E+09  4.9308E+03  5.8742E+03
  7.4798E+03  2.4349E+03  6.4495E+02  1.0235E+09  4.9036E+03  5.9045E+03
  7.3692E+03  2.4635E+03  5.9598E+02  9.2893E+08  4.8768E+03  5.9354E+03
  7.2586E+03  2.4910E+03  5.4869E+02  8.3949E+08  4.8503E+03  5.9670E+03
  7.1480E+03  2.5173E+03  5.0311E+02  7.5522E+08  4.8240E+03  5.9993E+03
  7.0374E+03  2.5426E+03  4.5926E+02  6.7614E+08  4.7979E+03  6.0325E+03
  6.9268E+03  2.5671E+03  4.1721E+02  6.0227E+08  4.7720E+03  6.0665E+03
  6.8162E+03  2.5908E+03  3.7702E+02  5.3359E+08  4.7461E+03  6.1016E+03
  6.7056E+03  2.6137E+03  3.3877E+02  4.7007E+08  4.7203E+03  6.1376E+03
  6.5950E+03  2.6359E+03  3.0255E+02  4.1164E+08  4.6945E+03  6.1747E+03
  6.4844E+03  2.6575E+03  2.6845E+02  3.5822E+08  4.6687E+03  6.2129E+03
  6.3738E+03  2.6784E+03  2.3653E+02  3.0968E+08  4.6429E+03  6.2522E+03
  6.2632E+03  2.6988E+03  2.0687E+02  2.6588E+08  4.6170E+03  6.2927E+03
  6.1526E+03  2.7186E+03  1.7952E+02  2.2663E+08  4.5910E+03  6.3344E+03
  6.0420E+03  2.7379E+03  1.5451E+02  1.9174E+08  4.5649E+03  6.3773E+03
  5.9314E+03  2.7567E+03  1.3184E+02  1.6095E+08  4.5387E+03  6.4214E+03
  5.8208E+03  2.7749E+03  1.1150E+02  1.3402E+08  4.5123E+03  6.4668E+03
  5.7102E+03  2.7927E+03  9.3429E+01  1.1067E+08  4.4858E+03  6.5135E+03
  5.5996E+03  2.8100E+03  7.7546E+01  9.0598E+07  4.4591E+03  6.5615E+03
  5.4890E+03  2.8269E+03  6.3740E+01  7.3507E+07  4.4321E+03  6.6108E+03
  5.3784E+03  2.8433E+03  5.1875E+01  5.9091E+07  4.4049E+03  6.6615E+03
  5.2678E+03  2.8592E+03  4.1794E+01  4.7049E+07  4.3775E+03  6.7137E+03
  5.1572E+03  2.8748E+03  3.3327E+01  3.7091E+07  4.3498E+03  6.7672E+03
  5.0466E+03  2.8899E+03  2.6298E+01  2.8939E+07  4.3217E+03  6.8224E+03
  4.9360E+03  2.9047E+03  2.0530E+01  2.2336E+07  4.2933E+03  6.8792E+03
  4.8254E+03  2.9190E+03  1.5850E+01  1.7044E+07  4.2646E+03  6.9377E+03
  4.7148E+03  2.9330E+03  1.2096E+01  1.2851E+07  4.2354E+03  6.9982E+03
  4.6042E+03  2.9467E+03  9.1206E+00  9.5659E+06  4.2058E+03  7.0608E+03
  4.4936E+03  2.9600E+03  6.7898E+00  7.0242E+06  4.1757E+03  7.1258E+03
  4.3830E+03  2.9730E+03  4.9863E+00  5.0829E+06  4.1451E+03  7.1934E+03
  4.2724E+03  2.9856E+03  3.6087E+00  3.6207E+06  4.1140E+03  7.2640E+03
  4.1618E+03  2.9980E+03  2.5707E+00  2.5355E+06  4.0823E+03  7.3379E+03
  4.0512E+03  3.0101E+03  1.8001E+00  1.7430E+06  4.0499E+03  7.4156E+03
  3.9406E+03  3.0219E+03  1.2370E+00  1.1744E+06  4.0169E+03  7.4976E+03
  3.8300E+03  3.0335E+03  8.5874E-01  7.8608E+05  3.9831E+03  7.5732E+03
  3.7194E+03  3.0448E+03  5.6004E-01  5.0348E+05  3.9485E+03  7.6688E+03
  3.6088E+03  3.0559E+03  3.5707E-01  3.1444E+05  3.9130E+03  7.7698E+03
  3.4982E+03  3.0668E+03  2.2184E-01  1.9092E+05  3.8767E+03  7.8774E+03
  3.3876E+03  3.0775E+03  1.3384E-01  1.1233E+05  3.8393E+03  7.9928E+03
  3.2770E+03  3.0880E+03  7.8110E-02  6.3818E+04  3.8008E+03  8.1171E+03
  3.2217E+03  3.0931E+03  5.8858E-02  4.7416E+04  3.7811E+03  8.1830E+03
  3.1664E+03  3.0983E+03  4.3914E-02  3.4868E+04  3.7611E+03  8.2518E+03
  3.1111E+03  3.1033E+03  3.2421E-02  2.5363E+04  3.7408E+03  8.3236E+03
  3.0558E+03  3.1084E+03  2.3671E-02  1.8238E+04  3.7202E+03  8.3986E+03
  3.0005E+03  3.1133E+03  1.7080E-02  1.2956E+04  3.6992E+03  8.4772E+03
  2.9452E+03  3.1183E+03  1.2170E-02  9.0856E+03  3.6778E+03  8.5594E+03
  2.8899E+03  3.1232E+03  8.5564E-03  6.2851E+03  3.6561E+03  8.6458E+03
  2.8346E+03  3.1281E+03  5.9313E-03  4.2853E+03  3.6340E+03  8.7365E+03
  2.7793E+03  3.1329E+03  4.0502E-03  2.8773E+03  3.6115E+03  8.8319E+03
  2.7240E+03  3.1377E+03  2.7217E-03  1.9006E+03  3.5885E+03  8.9324E+03
  2.6687E+03  3.1424E+03  1.7981E-03  1.2339E+03  3.5651E+03  9.0384E+03
  2.6134E+03  3.1471E+03  1.1665E-03  7.8642E+02  3.5413E+03  9.1503E+03
  2.5581E+03  3.1518E+03  7.4159E-04  4.9123E+02  3.5169E+03  9.2693E+03
