# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  8.5300E+03  5.7146E+02  5.7146E+02  2.0092E+08  5.0811E+03  5.0811E+03
  8.4239E+03  9.5540E+02  2.3507E+02  1.6782E+08  4.8087E+03  5.4157E+03
  8.3178E+03  1.1882E+03  1.8110E+02  1.4673E+08  4.6664E+03  5.4889E+03
  8.2117E+03  1.3378E+03  1.4428E+02  1.2834E+08  4.5770E+03  5.5473E+03
  8.1056E+03  1.4535E+03  1.1739E+02  1.1224E+08  4.5078E+03  5.5964E+03
  7.9994E+03  1.5488E+03  9.6883E+01  9.8109E+07  4.4501E+03  5.6393E+03
  7.8933E+03  1.6303E+03  8.0764E+01  8.5686E+07  4.3997E+03  5.6778E+03
  7.7872E+03  1.7018E+03  6.7815E+01  7.4751E+07  4.3545E+03  5.7129E+03
  7.6811E+03  1.7656E+03  5.7240E+01  6.5119E+07  4.3131E+03  5.7455E+03
  7.5750E+03  1.8232E+03  4.8495E+01  5.6631E+07  4.2746E+03  5.7761E+03
  7.4689E+03  1.8758E+03  4.1193E+01  4.9152E+07  4.2384E+03  5.8052E+03
  7.3627E+03  1.9243E+03  3.5050E+01  4.2566E+07  4.2041E+03  5.8332E+03
  7.2566E+03  1.9692E+03  2.9850E+01  3.6771E+07  4.1712E+03  5.8602E+03
  7.1505E+03  2.0110E+03  2.5429E+01  3.1678E+07  4.1396E+03  5.8865E+03
  7.0444E+03  2.0503E+03  2.1656E+01  2.7209E+07  4.1089E+03  5.9124E+03
  6.9383E+03  2.0872E+03  1.8427E+01  2.3294E+07  4.0791E+03  5.9379E+03
  6.8321E+03  2.1221E+03  1.5660E+01  1.9873E+07  4.0500E+03  5.9632E+03
  6.7260E+03  2.1552E+03  1.3285E+01  1.6889E+07  4.0215E+03  5.9885E+03
  6.6199E+03  2.1866E+03  1.1245E+01  1.4294E+07  3.9935E+03  6.0138E+03
  6.5138E+03  2.2165E+03  9.4936E+00  1.2044E+07  3.9659E+03  6.0394E+03
  6.4077E+03  2.2451E+03  7.9905E+00  1.0099E+07  3.9386E+03  6.0652E+03
  6.3016E+03  2.2725E+03  6.7020E+00  8.4257E+06  3.9116E+03  6.0916E+03
  6.1954E+03  2.2987E+03  5.5991E+00  6.9905E+06  3.8848E+03  6.1184E+03
  6.0893E+03  2.3239E+03  4.6571E+00  5.7654E+06  3.8581E+03  6.1460E+03
  5.9832E+03  2.3481E+03  3.8547E+00  4.7246E+06  3.8316E+03  6.1744E+03
  5.8771E+03  2.3715E+03  3.1732E+00  3.8451E+06  3.8051E+03  6.2037E+03
  5.7710E+03  2.3940E+03  2.5967E+00  3.1062E+06  3.7787E+03  6.2341E+03
  5.6649E+03  2.4157E+03  2.1109E+00  2.4892E+06  3.7523E+03  6.2658E+03
  5.5587E+03  2.4367E+03  1.7036E+00  1.9776E+06  3.7258E+03  6.2988E+03
  5.4526E+03  2.4571E+03  1.3640E+00  1.5565E+06  3.6992E+03  6.3334E+03
  5.3465E+03  2.4768E+03  1.0827E+00  1.2128E+06  3.6726E+03  6.3698E+03
  5.2404E+03  2.4959E+03  8.5114E-01  9.3461E+05  3.6458E+03  6.4082E+03
  5.1343E+03  2.5145E+03  6.6213E-01  7.1173E+05  3.6189E+03  6.4488E+03
  5.0282E+03  2.5326E+03  5.0917E-01  5.3503E+05  3.5917E+03  6.4918E+03
  4.9220E+03  2.5501E+03  3.8661E-01  3.9657E+05  3.5644E+03  6.5376E+03
  4.8159E+03  2.5672E+03  2.8947E-01  2.8946E+05  3.5368E+03  6.5863E+03
  4.7098E+03  2.5838E+03  2.1343E-01  2.0776E+05  3.5089E+03  6.6385E+03
  4.6037E+03  2.6000E+03  1.5471E-01  1.4641E+05  3.4807E+03  6.6943E+03
  4.4976E+03  2.6157E+03  1.1006E-01  1.0112E+05  3.4522E+03  6.7543E+03
  4.3915E+03  2.6311E+03  7.6688E-02  6.8318E+04  3.4233E+03  6.8187E+03
  4.2853E+03  2.6461E+03  5.2224E-02  4.5052E+04  3.3940E+03  6.8882E+03
  4.1792E+03  2.6608E+03  3.4672E-02  2.8928E+04  3.3643E+03  6.9630E+03
  4.0731E+03  2.6751E+03  2.2380E-02  1.8039E+04  3.3341E+03  7.0438E+03
  3.9670E+03  2.6892E+03  1.4003E-02  1.0892E+04  3.3034E+03  7.1311E+03
  3.8609E+03  2.7029E+03  8.4638E-03  6.3470E+03  3.2722E+03  7.2254E+03
  3.7548E+03  2.7162E+03  4.9239E-03  3.5569E+03  3.2404E+03  7.3272E+03
  3.6486E+03  2.7294E+03  2.7458E-03  1.9094E+03  3.2079E+03  7.4372E+03
  3.5425E+03  2.7422E+03  1.4612E-03  9.7772E+02  3.1748E+03  7.5560E+03
