# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  6.0436E+03  5.7053E+02  5.7053E+02  1.5930E+08  6.3792E+03  6.3792E+03
  5.9789E+03  1.0503E+03  2.5807E+02  1.3802E+08  5.9336E+03  6.7741E+03
  5.9142E+03  1.2465E+03  1.8743E+02  1.2059E+08  5.7720E+03  6.8947E+03
  5.8495E+03  1.3826E+03  1.4551E+02  1.0562E+08  5.6617E+03  6.9790E+03
  5.7849E+03  1.4886E+03  1.1689E+02  9.2661E+07  5.5755E+03  7.0453E+03
  5.7202E+03  1.5762E+03  9.5878E+01  8.1362E+07  5.5035E+03  7.1008E+03
  5.6555E+03  1.6512E+03  7.9754E+01  7.1467E+07  5.4407E+03  7.1490E+03
  5.5908E+03  1.7169E+03  6.7004E+01  6.2771E+07  5.3844E+03  7.1921E+03
  5.5262E+03  1.7757E+03  5.6702E+01  5.5108E+07  5.3330E+03  7.2313E+03
  5.4615E+03  1.8288E+03  4.8243E+01  4.8346E+07  5.2852E+03  7.2676E+03
  5.3968E+03  1.8773E+03  4.1210E+01  4.2370E+07  5.2405E+03  7.3016E+03
  5.3321E+03  1.9221E+03  3.5306E+01  3.7086E+07  5.1981E+03  7.3337E+03
  5.2675E+03  1.9637E+03  3.0311E+01  3.2413E+07  5.1576E+03  7.3645E+03
  5.2028E+03  2.0025E+03  2.6060E+01  2.8280E+07  5.1187E+03  7.3941E+03
  5.1381E+03  2.0389E+03  2.2423E+01  2.4626E+07  5.0812E+03  7.4228E+03
  5.0734E+03  2.0732E+03  1.9300E+01  2.1400E+07  5.0448E+03  7.4508E+03
  5.0088E+03  2.1057E+03  1.6610E+01  1.8552E+07  5.0093E+03  7.4783E+03
  4.9441E+03  2.1365E+03  1.4288E+01  1.6043E+07  4.9747E+03  7.5054E+03
  4.8794E+03  2.1658E+03  1.2279E+01  1.3835E+07  4.9407E+03  7.5324E+03
  4.8147E+03  2.1938E+03  1.0539E+01  1.1895E+07  4.9074E+03  7.5592E+03
  4.7501E+03  2.2206E+03  9.0319E+00  1.0195E+07  4.8745E+03  7.5861E+03
  4.6854E+03  2.2462E+03  7.7253E+00  8.7081E+06  4.8421E+03  7.6131E+03
  4.6207E+03  2.2708E+03  6.5930E+00  7.4108E+06  4.8100E+03  7.6403E+03
  4.5560E+03  2.2944E+03  5.6123E+00  6.2820E+06  4.7782E+03  7.6679E+03
  4.4913E+03  2.3172E+03  4.7637E+00  5.3030E+06  4.7467E+03  7.6960E+03
  4.4267E+03  2.3392E+03  4.0305E+00  4.4565E+06  4.7153E+03  7.7246E+03
  4.3620E+03  2.3604E+03  3.3980E+00  3.7273E+06  4.6841E+03  7.7539E+03
  4.2973E+03  2.3810E+03  2.8535E+00  3.1015E+06  4.6530E+03  7.7840E+03
  4.2326E+03  2.4008E+03  2.3861E+00  2.5668E+06  4.6220E+03  7.8150E+03
  4.1680E+03  2.4201E+03  1.9858E+00  2.1119E+06  4.5910E+03  7.8470E+03
  4.1033E+03  2.4388E+03  1.6443E+00  1.7269E+06  4.5599E+03  7.8802E+03
  4.0386E+03  2.4569E+03  1.3539E+00  1.4027E+06  4.5289E+03  7.9146E+03
  3.9739E+03  2.4745E+03  1.1081E+00  1.1313E+06  4.4978E+03  7.9506E+03
  3.9093E+03  2.4917E+03  9.0104E-01  9.0548E+05  4.4666E+03  7.9881E+03
  3.8446E+03  2.5084E+03  7.2744E-01  7.1883E+05  4.4353E+03  8.0274E+03
  3.7799E+03  2.5246E+03  5.8276E-01  5.6569E+05  4.4038E+03  8.0687E+03
  3.7152E+03  2.5404E+03  4.6296E-01  4.4101E+05  4.3722E+03  8.1121E+03
