# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  8.8763E+03  9.6564E+02  9.6564E+02  6.5899E+08  3.7863E+03  3.7863E+03
  8.7585E+03  1.2834E+03  7.0546E+02  6.2574E+08  3.6910E+03  3.8687E+03
  8.6407E+03  1.4349E+03  6.1221E+02  5.9342E+08  3.6467E+03  3.8999E+03
  8.5229E+03  1.5602E+03  5.4588E+02  5.6203E+08  3.6103E+03  3.9230E+03
  8.4052E+03  1.6725E+03  4.9332E+02  5.3157E+08  3.5778E+03  3.9419E+03
  8.2874E+03  1.7771E+03  4.4944E+02  5.0202E+08  3.5477E+03  3.9583E+03
  8.1696E+03  1.8764E+03  4.1167E+02  4.7338E+08  3.5191E+03  3.9729E+03
  8.0518E+03  1.9720E+03  3.7848E+02  4.4564E+08  3.4917E+03  3.9862E+03
  7.9340E+03  2.0650E+03  3.4888E+02  4.1881E+08  3.4649E+03  3.9985E+03
  7.8162E+03  2.1561E+03  3.2218E+02  3.9288E+08  3.4388E+03  4.0101E+03
  7.6984E+03  2.2459E+03  2.9789E+02  3.6783E+08  3.4130E+03  4.0210E+03
  7.5806E+03  2.3348E+03  2.7565E+02  3.4368E+08  3.3874E+03  4.0315E+03
  7.4628E+03  2.4230E+03  2.5515E+02  3.2041E+08  3.3620E+03  4.0416E+03
  7.3451E+03  2.5110E+03  2.3619E+02  2.9802E+08  3.3366E+03  4.0514E+03
  7.2273E+03  2.5988E+03  2.1857E+02  2.7651E+08  3.3113E+03  4.0610E+03
  7.1095E+03  2.6868E+03  2.0214E+02  2.5588E+08  3.2858E+03  4.0705E+03
  6.9917E+03  2.7750E+03  1.8679E+02  2.3611E+08  3.2603E+03  4.0799E+03
  6.8739E+03  2.8637E+03  1.7241E+02  2.1721E+08  3.2345E+03  4.0892E+03
  6.7561E+03  2.9529E+03  1.5892E+02  1.9917E+08  3.2086E+03  4.0986E+03
  6.6383E+03  3.0427E+03  1.4623E+02  1.8200E+08  3.1824E+03  4.1080E+03
  6.5205E+03  3.1334E+03  1.3429E+02  1.6568E+08  3.1560E+03  4.1176E+03
  6.4027E+03  3.2249E+03  1.2305E+02  1.5021E+08  3.1292E+03  4.1273E+03
  6.2850E+03  3.3173E+03  1.1245E+02  1.3560E+08  3.1021E+03  4.1373E+03
  6.1672E+03  3.4107E+03  1.0246E+02  1.2183E+08  3.0746E+03  4.1476E+03
  6.0494E+03  3.5052E+03  9.3046E+01  1.0889E+08  3.0468E+03  4.1583E+03
  5.9316E+03  3.6007E+03  8.4174E+01  9.6796E+07  3.0186E+03  4.1694E+03
  5.8138E+03  3.6974E+03  7.5822E+01  8.5526E+07  2.9900E+03  4.1811E+03
  5.6960E+03  3.7951E+03  6.7969E+01  7.5073E+07  2.9609E+03  4.1934E+03
  5.5782E+03  3.8939E+03  6.0599E+01  6.5430E+07  2.9315E+03  4.2064E+03
  5.4604E+03  3.9937E+03  5.3699E+01  5.6583E+07  2.9017E+03  4.2202E+03
  5.3427E+03  4.0946E+03  4.7260E+01  4.8518E+07  2.8714E+03  4.2350E+03
  5.2249E+03  4.1963E+03  4.1274E+01  4.1218E+07  2.8408E+03  4.2509E+03
  5.1071E+03  4.2990E+03  3.5737E+01  3.4664E+07  2.8097E+03  4.2680E+03
  4.9893E+03  4.4024E+03  3.0646E+01  2.8830E+07  2.7783E+03  4.2866E+03
  4.8715E+03  4.5065E+03  2.5999E+01  2.3689E+07  2.7465E+03  4.3068E+03
  4.7537E+03  4.6110E+03  2.1793E+01  1.9207E+07  2.7144E+03  4.3287E+03
  4.6359E+03  4.7160E+03  1.8026E+01  1.5349E+07  2.6819E+03  4.3527E+03
  4.5181E+03  4.8212E+03  1.4691E+01  1.2071E+07  2.6492E+03  4.3790E+03
  4.4003E+03  4.9264E+03  1.1779E+01  9.3281E+06  2.6161E+03  4.4078E+03
  4.2826E+03  5.0316E+03  9.2748E+00  7.0707E+06  2.5828E+03  4.4394E+03
  4.1648E+03  5.1364E+03  7.1581E+00  5.2467E+06  2.5493E+03  4.4741E+03
  4.0470E+03  5.2409E+03  5.4031E+00  3.8027E+06  2.5155E+03  4.5123E+03
  3.9292E+03  5.3447E+03  3.9787E+00  2.6849E+06  2.4815E+03  4.5544E+03
  3.8114E+03  5.4478E+03  2.8501E+00  1.8414E+06  2.4473E+03  4.6009E+03
  3.6936E+03  5.5499E+03  1.9794E+00  1.2224E+06  2.4129E+03  4.6523E+03
  3.5758E+03  5.6510E+03  1.3276E+00  7.8236E+05  2.3783E+03  4.7093E+03
  3.4580E+03  5.7510E+03  8.5600E-01  4.8053E+05  2.3435E+03  4.7726E+03
  3.3402E+03  5.8496E+03  5.2775E-01  2.8172E+05  2.3084E+03  4.8431E+03
  3.2225E+03  5.9468E+03  3.0916E-01  1.5665E+05  2.2731E+03  4.9218E+03
  3.1047E+03  6.0426E+03  1.7081E-01  8.2004E+04  2.2375E+03  5.0098E+03
  2.9869E+03  6.1368E+03  8.8225E-02  4.0067E+04  2.2016E+03  5.1086E+03
  2.9280E+03  6.1833E+03  6.1630E-02  2.7207E+04  2.1835E+03  5.1626E+03
  2.8691E+03  6.2293E+03  4.2165E-02  1.8087E+04  2.1652E+03  5.2198E+03
  2.8102E+03  6.2750E+03  2.8208E-02  1.1754E+04  2.1469E+03  5.2806E+03
  2.7513E+03  6.3202E+03  1.8422E-02  7.4551E+03  2.1285E+03  5.3452E+03
  2.6924E+03  6.3650E+03  1.1723E-02  4.6062E+03  2.1099E+03  5.4139E+03
  2.6335E+03  6.4094E+03  7.2546E-03  2.7672E+03  2.0912E+03  5.4870E+03
  2.5746E+03  6.4533E+03  4.3567E-03  1.6130E+03  2.0723E+03  5.5647E+03
