# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  3.0364E+04  1.7004E+03  1.7004E+03  4.2259E+09  2.9656E+03  2.9656E+03
  2.9888E+04  1.9530E+03  1.4529E+03  4.0658E+09  2.9320E+03  2.9905E+03
  2.9412E+04  2.0595E+03  1.3517E+03  3.9099E+09  2.9157E+03  2.9979E+03
  2.8936E+04  2.1422E+03  1.2745E+03  3.7582E+09  2.9024E+03  3.0024E+03
  2.8460E+04  2.2126E+03  1.2098E+03  3.6105E+09  2.8907E+03  3.0054E+03
  2.7984E+04  2.2753E+03  1.1530E+03  3.4668E+09  2.8799E+03  3.0073E+03
  2.7508E+04  2.3325E+03  1.1018E+03  3.3269E+09  2.8698E+03  3.0086E+03
  2.7032E+04  2.3857E+03  1.0549E+03  3.1909E+09  2.8602E+03  3.0094E+03
  2.6556E+04  2.4358E+03  1.0113E+03  3.0585E+09  2.8511E+03  3.0097E+03
  2.6080E+04  2.4833E+03  9.7059E+02  2.9297E+09  2.8422E+03  3.0097E+03
  2.5605E+04  2.5287E+03  9.3215E+02  2.8045E+09  2.8337E+03  3.0095E+03
  2.5129E+04  2.5725E+03  8.9568E+02  2.6827E+09  2.8253E+03  3.0090E+03
  2.4653E+04  2.6149E+03  8.6092E+02  2.5643E+09  2.8172E+03  3.0083E+03
  2.4177E+04  2.6560E+03  8.2766E+02  2.4492E+09  2.8091E+03  3.0076E+03
  2.3701E+04  2.6962E+03  7.9574E+02  2.3372E+09  2.8012E+03  3.0067E+03
  2.3225E+04  2.7355E+03  7.6500E+02  2.2284E+09  2.7934E+03  3.0057E+03
  2.2749E+04  2.7741E+03  7.3533E+02  2.1226E+09  2.7857E+03  3.0046E+03
  2.2273E+04  2.8122E+03  7.0663E+02  2.0198E+09  2.7780E+03  3.0036E+03
  2.1797E+04  2.8498E+03  6.7882E+02  1.9200E+09  2.7703E+03  3.0024E+03
  2.1321E+04  2.8871E+03  6.5182E+02  1.8229E+09  2.7626E+03  3.0013E+03
  2.0845E+04  2.9241E+03  6.2557E+02  1.7287E+09  2.7549E+03  3.0002E+03
  2.0370E+04  2.9609E+03  6.0001E+02  1.6371E+09  2.7472E+03  2.9991E+03
  1.9894E+04  2.9977E+03  5.7509E+02  1.5482E+09  2.7395E+03  2.9981E+03
  1.9418E+04  3.0346E+03  5.5077E+02  1.4620E+09  2.7317E+03  2.9971E+03
  1.8942E+04  3.0716E+03  5.2701E+02  1.3782E+09  2.7238E+03  2.9962E+03
  1.8466E+04  3.1088E+03  5.0377E+02  1.2970E+09  2.7157E+03  2.9954E+03
  1.7990E+04  3.1464E+03  4.8102E+02  1.2182E+09  2.7076E+03  2.9946E+03
  1.7514E+04  3.1844E+03  4.5873E+02  1.1418E+09  2.6993E+03  2.9940E+03
  1.7038E+04  3.2229E+03  4.3687E+02  1.0679E+09  2.6908E+03  2.9936E+03
  1.6562E+04  3.2622E+03  4.1543E+02  9.9621E+08  2.6821E+03  2.9932E+03
  1.6086E+04  3.3023E+03  3.9436E+02  9.2689E+08  2.6732E+03  2.9931E+03
  1.5610E+04  3.3434E+03  3.7367E+02  8.5988E+08  2.6640E+03  2.9931E+03
  1.5134E+04  3.3857E+03  3.5332E+02  7.9514E+08  2.6546E+03  2.9933E+03
  1.4659E+04  3.4293E+03  3.3331E+02  7.3268E+08  2.6447E+03  2.9938E+03
  1.4183E+04  3.4745E+03  3.1361E+02  6.7249E+08  2.6345E+03  2.9945E+03
  1.3707E+04  3.5216E+03  2.9421E+02  6.1457E+08  2.6238E+03  2.9955E+03
  1.3231E+04  3.5708E+03  2.7510E+02  5.5893E+08  2.6126E+03  2.9968E+03
  1.2755E+04  3.6226E+03  2.5627E+02  5.0559E+08  2.6008E+03  2.9984E+03
  1.2279E+04  3.6773E+03  2.3771E+02  4.5457E+08  2.5883E+03  3.0005E+03
  1.1803E+04  3.7354E+03  2.1943E+02  4.0591E+08  2.5751E+03  3.0030E+03
  1.1327E+04  3.7976E+03  2.0141E+02  3.5963E+08  2.5609E+03  3.0061E+03
  1.0851E+04  3.8645E+03  1.8366E+02  3.1579E+08  2.5456E+03  3.0099E+03
  1.0375E+04  3.9370E+03  1.6619E+02  2.7446E+08  2.5291E+03  3.0144E+03
